Joshua Project People Group Data

jppeoples.ROG3,Ctry,jppeoples.PeopleID3,PeopNameAcrossCountries,PeopNameInCountry,jplangpeopctry.LanguageRank,Population,JPScale,LeastReached,jppeoples.ROL3,Language,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,AffinityBloc,PeopleID2,PeopleCluster,RegionCode,RegionName,ROG2,Continent,10_40Window
IN,India,17038,Kadan,Kadan,S,4500,1,Y,mal,Kadar,5,Hinduism,0.333,,21,"South Asian Peoples",475,"South Asia Tribal - other",4,"Asia, South",ASI,Asia,Y

Bible Translation status:
0,Unspecified
1,Translation Needed
2,Translation Started
3,Portions
4,New Testament
5,Complete Bible

"Joshua Project welcomes corrections / updates to this data.  Please send feedback to:"

Email:,info@joshuaproject.net
Web:,www.joshuaproject.net
Office:,719.886.4000
Postal:,Joshua Project 
,PO Box 62614
,"Colorado Springs, CO 80962"
,United States
